match_id,team_id,win,dragon_kills,baron_kills,tower_kills,inhibitor_kills,champion_kills,atakhan_kills,horde_kills,total_gold,total_experience
EUW1_7735648775,100,0,1,0,3,0,20,0,3,58531,71892
EUW1_7735648775,200,1,3,2,10,2,33,0,0,72360,82434
EUW1_7732948338,100,1,2,1,11,3,29,0,3,59290,65633
EUW1_7732948338,200,0,1,0,1,0,15,0,0,44690,51697
EUW1_7731581377,100,0,2,1,4,0,39,0,2,83290,98840
EUW1_7731581377,200,1,4,1,10,1,45,0,1,90246,103122
EUW1_7731514801,100,1,2,2,11,3,43,0,2,74368,91927
EUW1_7731514801,200,0,2,0,4,0,28,0,1,64031,78119
EUW1_7731417399,100,1,4,0,8,2,41,0,3,75444,87276
EUW1_7731417399,200,0,1,1,3,0,24,0,0,68623,82300
EUW1_7729644827,100,0,1,0,3,0,25,0,3,60955,64565
EUW1_7729644827,200,1,4,1,8,1,37,0,0,68645,77597
EUW1_7726714177,100,0,0,0,0,0,10,0,0,30634,34343
EUW1_7726714177,200,1,2,0,3,0,25,0,3,38713,43112
EUW1_7726654021,100,0,0,0,2,0,19,0,0,56964,69033
EUW1_7726654021,200,1,4,2,13,2,43,0,3,72531,89670
EUW1_7726586911,100,1,1,1,10,1,28,0,3,57145,61681
EUW1_7726586911,200,0,2,0,2,0,18,0,0,47185,53261
EUW1_7726525237,100,0,1,0,2,0,13,0,3,42568,45409
EUW1_7726525237,200,1,2,1,5,0,34,0,0,53185,59689
EUW1_7739514064,100,1,4,1,9,1,37,0,0,70995,85673
EUW1_7739514064,200,0,0,0,6,0,17,0,3,62246,68993
EUW1_7739460104,100,1,4,1,11,3,32,0,2,65252,75253
EUW1_7739460104,200,0,0,0,3,0,15,0,1,50361,59836
EUW1_7739411006,100,0,0,0,0,0,16,0,0,46473,55144
EUW1_7739411006,200,1,3,1,9,1,35,0,3,60344,65976
EUW1_7739374797,100,0,0,0,0,0,9,0,0,27375,32721
EUW1_7739374797,200,1,2,0,3,0,19,0,3,35806,39869
EUW1_7739302156,100,0,1,0,4,0,19,0,0,60816,74622
EUW1_7739302156,200,1,3,1,9,1,29,0,3,70567,86627
EUW1_7739258896,100,1,2,0,9,1,28,0,3,61903,71587
EUW1_7739258896,200,0,1,0,2,0,10,0,0,48997,58755
EUW1_7739215514,100,1,1,1,9,2,24,0,0,59259,68489
EUW1_7739215514,200,0,1,0,2,0,16,0,3,46660,56848
EUW1_7739054573,100,1,2,1,10,2,26,0,0,57437,69827
EUW1_7739054573,200,0,0,0,0,0,5,0,3,39201,51269
EUW1_7729589581,100,0,0,0,1,0,14,0,1,45065,53022
EUW1_7729589581,200,1,3,0,6,1,30,0,2,51619,64980
EUW1_7729485894,100,1,5,2,10,2,33,0,3,78505,96694
EUW1_7729485894,200,0,0,0,4,0,32,0,0,69736,78741
EUW1_7729426360,100,0,0,0,0,0,2,0,0,22814,27956
EUW1_7729426360,200,1,2,0,4,0,28,0,3,36230,38029
EUW1_7729344608,100,1,3,0,10,2,33,0,3,55211,62667
EUW1_7729344608,200,0,0,0,1,0,8,0,0,38569,47333
EUW1_7729245014,100,0,1,0,1,0,9,0,0,36159,44621
EUW1_7729245014,200,1,2,0,10,1,34,0,3,55318,61516
EUW1_7729144191,100,0,1,0,3,0,21,0,1,48773,54314
