match_id,participant_id,slot,spell_id
EUW1_7739514064,1,1,4
EUW1_7739514064,1,2,6
EUW1_7739514064,2,1,4
EUW1_7739514064,2,2,11
EUW1_7739514064,3,1,12
EUW1_7739514064,3,2,4
EUW1_7739514064,4,1,4
EUW1_7739514064,4,2,1
EUW1_7739514064,5,1,7
EUW1_7739514064,5,2,4
EUW1_7739514064,6,1,4
EUW1_7739514064,6,2,14
EUW1_7739514064,7,1,4
EUW1_7739514064,7,2,11
EUW1_7739514064,8,1,4
EUW1_7739514064,8,2,12
EUW1_7739514064,9,1,4
EUW1_7739514064,9,2,21
EUW1_7739514064,10,1,7
EUW1_7739514064,10,2,4
EUW1_7739460104,1,1,4
EUW1_7739460104,1,2,12
EUW1_7739460104,2,1,4
EUW1_7739460104,2,2,11
EUW1_7739460104,3,1,6
EUW1_7739460104,3,2,4
EUW1_7739460104,4,1,4
EUW1_7739460104,4,2,12
EUW1_7739460104,5,1,4
EUW1_7739460104,5,2,7
EUW1_7739460104,6,1,4
EUW1_7739460104,6,2,12
EUW1_7739460104,7,1,4
EUW1_7739460104,7,2,11
EUW1_7739460104,8,1,4
EUW1_7739460104,8,2,12
EUW1_7739460104,9,1,4
EUW1_7739460104,9,2,6
EUW1_7739460104,10,1,14
EUW1_7739460104,10,2,4
EUW1_7739411006,1,1,14
EUW1_7739411006,1,2,4
EUW1_7739411006,2,1,11
EUW1_7739411006,2,2,4
EUW1_7739411006,3,1,4
EUW1_7739411006,3,2,3
EUW1_7739411006,4,1,4
EUW1_7739411006,4,2,21
EUW1_7739411006,5,1,7
EUW1_7739411006,5,2,4
EUW1_7739411006,6,1,4
EUW1_7739411006,6,2,14
EUW1_7739411006,7,1,11
EUW1_7739411006,7,2,4
EUW1_7739411006,8,1,14
EUW1_7739411006,8,2,4
EUW1_7739411006,9,1,4
EUW1_7739411006,9,2,21
EUW1_7739411006,10,1,14
EUW1_7739411006,10,2,4
EUW1_7739374797,1,1,12
EUW1_7739374797,1,2,4
EUW1_7739374797,2,1,11
EUW1_7739374797,2,2,4
EUW1_7739374797,3,1,6
EUW1_7739374797,3,2,4
EUW1_7739374797,4,1,4
EUW1_7739374797,4,2,21
EUW1_7739374797,5,1,14
EUW1_7739374797,5,2,4
EUW1_7739374797,6,1,12
EUW1_7739374797,6,2,4
EUW1_7739374797,7,1,4
EUW1_7739374797,7,2,11
EUW1_7739374797,8,1,12
EUW1_7739374797,8,2,4
EUW1_7739374797,9,1,4
EUW1_7739374797,9,2,21
EUW1_7739374797,10,1,7
EUW1_7739374797,10,2,4
EUW1_7735648775,1,1,4
EUW1_7735648775,1,2,14
EUW1_7735648775,2,1,4
EUW1_7735648775,2,2,11
EUW1_7735648775,3,1,4
EUW1_7735648775,3,2,6
EUW1_7735648775,4,1,4
EUW1_7735648775,4,2,21
EUW1_7735648775,5,1,4
EUW1_7735648775,5,2,7
EUW1_7735648775,6,1,4
EUW1_7735648775,6,2,12
EUW1_7735648775,7,1,11
EUW1_7735648775,7,2,6
EUW1_7735648775,8,1,4
EUW1_7735648775,8,2,12
EUW1_7735648775,9,1,21
EUW1_7735648775,9,2,4
EUW1_7735648775,10,1,14
EUW1_7735648775,10,2,4
EUW1_7732948338,1,1,14
EUW1_7732948338,1,2,4
EUW1_7732948338,2,1,11
EUW1_7732948338,2,2,14
EUW1_7732948338,3,1,12
EUW1_7732948338,3,2,4
EUW1_7732948338,4,1,21
EUW1_7732948338,4,2,4
EUW1_7732948338,5,1,14
EUW1_7732948338,5,2,4
EUW1_7732948338,6,1,12
EUW1_7732948338,6,2,4
EUW1_7732948338,7,1,4
EUW1_7732948338,7,2,11
EUW1_7732948338,8,1,12
EUW1_7732948338,8,2,4
EUW1_7732948338,9,1,12
EUW1_7732948338,9,2,4
EUW1_7732948338,10,1,7
EUW1_7732948338,10,2,4
EUW1_7731581377,1,1,6
EUW1_7731581377,1,2,4
EUW1_7731581377,2,1,4
EUW1_7731581377,2,2,11
EUW1_7731581377,3,1,6
EUW1_7731581377,3,2,4
EUW1_7731581377,4,1,4
EUW1_7731581377,4,2,21
EUW1_7731581377,5,1,7
EUW1_7731581377,5,2,4
EUW1_7731581377,6,1,12
EUW1_7731581377,6,2,4
EUW1_7731581377,7,1,4
EUW1_7731581377,7,2,11
EUW1_7731581377,8,1,4
EUW1_7731581377,8,2,12
EUW1_7731581377,9,1,1
EUW1_7731581377,9,2,4
EUW1_7731581377,10,1,4
EUW1_7731581377,10,2,7
EUW1_7731514801,1,1,3
EUW1_7731514801,1,2,4
EUW1_7731514801,2,1,4
EUW1_7731514801,2,2,11
EUW1_7731514801,3,1,4
EUW1_7731514801,3,2,12
EUW1_7731514801,4,1,4
EUW1_7731514801,4,2,21
EUW1_7731514801,5,1,7
EUW1_7731514801,5,2,4
EUW1_7731514801,6,1,4
EUW1_7731514801,6,2,14
EUW1_7731514801,7,1,11
EUW1_7731514801,7,2,4
EUW1_7731514801,8,1,12
EUW1_7731514801,8,2,4
EUW1_7731514801,9,1,4
EUW1_7731514801,9,2,21
EUW1_7731514801,10,1,7
EUW1_7731514801,10,2,4
EUW1_7731417399,1,1,12
EUW1_7731417399,1,2,4
EUW1_7731417399,2,1,4
EUW1_7731417399,2,2,11
EUW1_7731417399,3,1,12
EUW1_7731417399,3,2,4
EUW1_7731417399,4,1,4
EUW1_7731417399,4,2,3
EUW1_7731417399,5,1,4
EUW1_7731417399,5,2,7
EUW1_7731417399,6,1,12
EUW1_7731417399,6,2,4
EUW1_7731417399,7,1,4
EUW1_7731417399,7,2,11
EUW1_7731417399,8,1,14
EUW1_7731417399,8,2,4
EUW1_7731417399,9,1,4
EUW1_7731417399,9,2,21
EUW1_7731417399,10,1,7
EUW1_7731417399,10,2,4
EUW1_7729644827,1,1,14
EUW1_7729644827,1,2,4
EUW1_7729644827,2,1,4
EUW1_7729644827,2,2,11
EUW1_7729644827,3,1,4
EUW1_7729644827,3,2,12
EUW1_7729644827,4,1,21
EUW1_7729644827,4,2,4
EUW1_7729644827,5,1,4
EUW1_7729644827,5,2,7
EUW1_7729644827,6,1,4
EUW1_7729644827,6,2,6
EUW1_7729644827,7,1,4
EUW1_7729644827,7,2,11
EUW1_7729644827,8,1,4
EUW1_7729644827,8,2,6
EUW1_7729644827,9,1,4
EUW1_7729644827,9,2,21
EUW1_7729644827,10,1,7
EUW1_7729644827,10,2,4
EUW1_7726714177,1,1,4
EUW1_7726714177,1,2,12
EUW1_7726714177,2,1,11
EUW1_7726714177,2,2,4
EUW1_7726714177,3,1,4
EUW1_7726714177,3,2,14
EUW1_7726714177,4,1,12
EUW1_7726714177,4,2,4
EUW1_7726714177,5,1,4
EUW1_7726714177,5,2,7
EUW1_7726714177,6,1,4
EUW1_7726714177,6,2,14
EUW1_7726714177,7,1,4
EUW1_7726714177,7,2,11
EUW1_7726714177,8,1,4
EUW1_7726714177,8,2,14
EUW1_7726714177,9,1,4
EUW1_7726714177,9,2,6
EUW1_7726714177,10,1,7
EUW1_7726714177,10,2,4
EUW1_7726654021,1,1,14
EUW1_7726654021,1,2,4
EUW1_7726654021,2,1,11
EUW1_7726654021,2,2,4
EUW1_7726654021,3,1,4
EUW1_7726654021,3,2,12
EUW1_7726654021,4,1,4
EUW1_7726654021,4,2,6
EUW1_7726654021,5,1,4
EUW1_7726654021,5,2,7
EUW1_7726654021,6,1,14
EUW1_7726654021,6,2,4
EUW1_7726654021,7,1,4
EUW1_7726654021,7,2,11
EUW1_7726654021,8,1,4
EUW1_7726654021,8,2,12
EUW1_7726654021,9,1,4
EUW1_7726654021,9,2,6
EUW1_7726654021,10,1,7
EUW1_7726654021,10,2,4
EUW1_7726586911,1,1,4
EUW1_7726586911,1,2,14
EUW1_7726586911,2,1,11
EUW1_7726586911,2,2,6
EUW1_7726586911,3,1,4
EUW1_7726586911,3,2,12
EUW1_7726586911,4,1,4
EUW1_7726586911,4,2,21
EUW1_7726586911,5,1,7
EUW1_7726586911,5,2,4
EUW1_7726586911,6,1,4
EUW1_7726586911,6,2,12
EUW1_7726586911,7,1,4
EUW1_7726586911,7,2,11
EUW1_7726586911,8,1,12
EUW1_7726586911,8,2,4
EUW1_7726586911,9,1,4
EUW1_7726586911,9,2,21
EUW1_7726586911,10,1,4
EUW1_7726586911,10,2,7
EUW1_7726525237,1,1,4
EUW1_7726525237,1,2,12
EUW1_7726525237,2,1,4
EUW1_7726525237,2,2,11
EUW1_7726525237,3,1,6
EUW1_7726525237,3,2,4
EUW1_7726525237,4,1,4
EUW1_7726525237,4,2,21
EUW1_7726525237,5,1,7
EUW1_7726525237,5,2,4
EUW1_7726525237,6,1,4
EUW1_7726525237,6,2,12
EUW1_7726525237,7,1,4
EUW1_7726525237,7,2,11
EUW1_7726525237,8,1,12
EUW1_7726525237,8,2,4
EUW1_7726525237,9,1,21
EUW1_7726525237,9,2,4
EUW1_7726525237,10,1,4
EUW1_7726525237,10,2,7
EUW1_7729589581,1,1,14
EUW1_7729589581,1,2,4
EUW1_7729589581,2,1,4
EUW1_7729589581,2,2,11
EUW1_7729589581,3,1,4
EUW1_7729589581,3,2,12
EUW1_7729589581,4,1,21
EUW1_7729589581,4,2,4
EUW1_7729589581,5,1,4
EUW1_7729589581,5,2,7
EUW1_7729589581,6,1,12
EUW1_7729589581,6,2,4
EUW1_7729589581,7,1,4
EUW1_7729589581,7,2,11
EUW1_7729589581,8,1,4
EUW1_7729589581,8,2,12
EUW1_7729589581,9,1,12
EUW1_7729589581,9,2,4
EUW1_7729589581,10,1,4
EUW1_7729589581,10,2,7
EUW1_7729485894,1,1,14
EUW1_7729485894,1,2,4
EUW1_7729485894,2,1,11
EUW1_7729485894,2,2,4
